Start,Start_Latitude,Start_Longitude,End,End_Latitude,End_Longitude
Chile,-33.4489,-70.6693,Luxembourg,49.6116,6.1319
Chile,-33.4489,-70.6693,Monaco,43.7384,7.4246
Chile,-33.4489,-70.6693,Bahamas,25.0343,-77.3963
Chile,-33.4489,-70.6693,Barbados,13.1939,-59.5432
Chile,-33.4489,-70.6693,Uruguay,-34.9011,-56.1645
Chile,-33.4489,-70.6693,Suriname,5.8671,-55.167
Chile,-33.4489,-70.6693,Japan,35.6762,139.6503
Chile,-33.4489,-70.6693,Singapore,1.3521,103.8198
Chile,-33.4489,-70.6693,Chile,-33.4489,-70.6693
Chile,-33.4489,-70.6693,Philippines,12.8797,121.774
Chile,-33.4489,-70.6693,Papua New Guinea,-6.314993,143.95555